*TIPO CURSO;IES;*IES_ID;CAMPUS;*CAMPUS_ID;*NOME DO CURSO;*TURNO;*QTDE DE MENSALIDADE DO CURSO;MENSALIDADE;*VALOR DO CURSO;*ID_CLASSIFICAÇÃO;CLASSIFICAÇÃO;*ID_ENFASE;ENFASE;*DESCRIÇÃO CURTA;*Ativo;*ID AREA DE CONHECIMENTO;ID PRODUTO PRVALER;ID_CURSO_IES;MATRICULA;"";"erro";
GRADUAÇÃO;ESTÁCIO;491;POLO PONTE NOVA - GUARAPIRANGA - MG;20497;ESTÉTICA E COSMÉTICA;FLEX 8;30;849,83;25494,9;64;ESTÉTICA E COSMÉTICA;129;ESTÉTICA;GRA-EST-POL-FLE;1;4;189;;;"";"";
GRADUAÇÃO;ESTÁCIO;491;POLO PONTE NOVA - GUARAPIRANGA - MG;20497;AUTOMAÇÃO INDUSTRIAL;FLEX 8;48;816,5;39192;16;AUTOMAÇÃO INDUSTRIAL;18;AUTOMAÇÃO;GRA-AUT-POL-FLE;1;2;189;;;"";"";
GRADUAÇÃO;ESTÁCIO;491;POLO PONTE NOVA - GUARAPIRANGA - MG;20497;FÍSICA;FLEX 8;48;466,5;22392;73;FÍSICA;144;FÍSICA;GRA-FÍS-POL-FLE;1;1;189;;;"";"";
GRADUAÇÃO;ESTÁCIO;491;POLO PONTE NOVA - GUARAPIRANGA - MG;20497;QUÍMICA;FLEX 8;48;433,17;20792,16;403;QUÍMICA;381;QUÍMICA;GRA-QUÍ-POL-FLE;1;1;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;ADMINISTRAÇÃO;EAD - Ensino à Distância;48;478,34;22960,32;1;ADMINISTRAÇÃO;1;ADMINISTRAÇÃO DE EMPRESAS;GRA-ADM-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;ADMINISTRAÇÃO PÚBLICA;EAD - Ensino à Distância;48;478,34;22960,32;1;ADMINISTRAÇÃO PÚBLICA;1;ADMINISTRAÇÃO DE EMPRESAS;GRA-ADM-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;EAD - Ensino à Distância;30;408,17;12245,1;320;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;657;ANÁLISE DE SISTEMAS ORIENTADOS A OBJETOS;GRA-ANÁ-POL-EAD;1;1;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;ARTES VISUAIS;EAD - Ensino à Distância;48;383,17;18392,16;12;ARTES VISUAIS;16;ARTES VISUAIS;GRA-ART-POL-EAD;1;8;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;BANCO DE DADOS;EAD - Ensino à Distância;30;408,17;12245,1;18;BANCO DE DADOS;20;BANCO DE DADOS;GRA-BAN-POL-EAD;1;1;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;CIÊNCIAS DA COMPUTAÇÃO;EAD - Ensino à Distância;48;720,83;34599,84;29;CIÊNCIAS DA COMPUTAÇÃO;40;CIÊNCIAS EXATAS;GRA-CIÊ-POL-EAD;1;1;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;CIÊNCIA DE DADOS;EAD - Ensino à Distância;30;408,17;12245,1;18;CIÊNCIA DE DADOS;20;BANCO DE DADOS;GRA-CIÊ-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;CIÊNCIAS CONTÁBEIS;EAD - Ensino à Distância;48;478,34;22960,32;44;CIÊNCIAS CONTÁBEIS;38;CIÊNCIAS CONTÁBEIS;GRA-CIÊ-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;CIÊNCIAS DA NATUREZA;EAD - Ensino à Distância;36;383,17;13794,12;21;CIÊNCIAS DA NATUREZA;24;BIOLOGIA;GRA-CIÊ-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;CIÊNCIAS ECONÔMICAS;EAD - Ensino à Distância;48;478,34;22960,32;53;CIÊNCIAS ECONÔMICAS;82;ECONOMIA;GRA-CIÊ-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;CIÊNCIAS EXATAS;EAD - Ensino à Distância;36;330;11880;29;CIÊNCIAS EXATAS;40;CIÊNCIAS EXATAS;GRA-CIÊ-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;CIÊNCIAS HUMANAS;EAD - Ensino à Distância;36;478,34;17220,24;21;CIÊNCIAS HUMANAS;24;BIOLOGIA;GRA-CIÊ-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;COMÉRCIO EXTERIOR;EAD - Ensino à Distância;24;408,17;9796,08;33;COMÉRCIO EXTERIOR;50;COMÉRCIO EXTERIOR;GRA-COM-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;COMPUTAÇÃO - LICENCIATURA;EAD - Ensino à Distância;48;383,17;18392,16;29;COMPUTAÇÃO - LICENCIATURA;40;CIÊNCIAS EXATAS;GRA-COM-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;COMUNICAÇÃO INSTITUCIONAL;EAD - Ensino à Distância;24;408,17;9796,08;37;COMUNICAÇÃO INSTITUCIONAL;55;COMUNICAÇÃO INSTITUCIONAL;GRA-COM-POL-EAD;1;7;189;;;"";"";
