*TIPO CURSO;IES;*IES_ID;CAMPUS;*CAMPUS_ID;*NOME DO CURSO;*TURNO;*QTDE DE MENSALIDADE DO CURSO;MENSALIDADE;*VALOR DO CURSO;*ID_CLASSIFICAÇÃO;CLASSIFICAÇÃO;*ID_ENFASE;ENFASE;*DESCRIÇÃO CURTA;*Ativo;*ID AREA DE CONHECIMENTO;ID PRODUTO PRVALER;ID_CURSO_IES;MATRICULA;MODALIDADE
GRADUAÇÃO;ESTÁCIO FACITEC;533;POLO CENTRO - AREIA - PB;7039;BIOMEDICINA;EAD - Ensino à Distância;48;799,83;38391,84;22;BIOMEDICINA;25;BIOMEDICINA;GRA-BIO-POL-EAD;1;4;187;3593-7106-11-9;;2
GRADUAÇÃO;ESTÁCIO FACITEC;533;POLO CENTRO - AREIA - PB;7039;ENGENHARIA CIVIL;EAD - Ensino à Distância;60;766,5;45990;62;ENGENHARIA CIVIL;100;ENGENHARIA;GRA-ENG-POL-EAD;1;2;187;3593-7102-11-9;;2
GRADUAÇÃO;ESTÁCIO FACITEC;533;POLO CENTRO - AREIA - PB;7039;ENGENHARIA DE PRODUÇÃO;EAD - Ensino à Distância;60;666,5;39990;62;ENGENHARIA DE PRODUÇÃO;100;ENGENHARIA;GRA-ENG-POL-EAD;1;2;187;3593-7100-11-9;;2
GRADUAÇÃO;ESTÁCIO FACITEC;533;POLO CENTRO - AREIA - PB;7039;ENGENHARIA ELÉTRICA;EAD - Ensino à Distância;60;816,5;53390;62;ENGENHARIA ELÉTRICA;100;ENGENHARIA;GRA-ENG-POL-EAD;1;2;187;3593-7105-11-9;;2
GRADUAÇÃO;ESTÁCIO FACITEC;533;POLO CENTRO - AREIA - PB;7039;ENGENHARIA MECÂNICA;EAD - Ensino à Distância;60;766,5;45990;62;ENGENHARIA MECÂNICA;100;ENGENHARIA;GRA-ENG-POL-EAD;1;2;187;3593-7121-11-9;;2
GRADUAÇÃO;ESTÁCIO FACITEC;533;POLO CENTRO - AREIA - PB;7039;FARMÁCIA;EAD - Ensino à Distância;60;833,17;49990,2;70;FARMÁCIA;139;FARMÁCIA;GRA-FAR-POL-EAD;1;4;187;3593-7109-11-9;;2
GRADUAÇÃO;ESTÁCIO FACITEC;533;POLO CENTRO - AREIA - PB;7039;RADIOLOGIA;EAD - Ensino à Distância;36;633,17;22794,12;194;RADIOLOGIA;388;RADIOLOGIA;GRA-RAD-POL-EAD;1;4;187;3593-7108-4-9;;2
GRADUAÇÃO;ESTÁCIO FACITEC;533;POLO CENTRO - AREIA - PB;7039;CIÊNCIAS BIOLÓGICAS;EAD - Ensino à Distância;48;449,83;21591,84;21;CIÊNCIAS BIOLÓGICAS;24;BIOLOGIA;GRA-CIÊ-POL-EAD;1;3;187;3593-7111-11-9;;2
GRADUAÇÃO;ESTÁCIO FACITEC;533;POLO CENTRO - AREIA - PB;7039;CIÊNCIAS BIOLÓGICAS;EAD - Ensino à Distância;48;449,83;21591,84;21;CIÊNCIAS BIOLÓGICAS;24;BIOLOGIA;GRA-CIÊ-POL-EAD;1;3;187;3593-7112-11-9;;2
GRADUAÇÃO;ESTÁCIO FACITEC;533;POLO CENTRO - AREIA - PB;7039;ESTÉTICA E COSMÉTICA;EAD - Ensino à Distância;30;649,83;19494,9;64;ESTÉTICA E COSMÉTICA;129;ESTÉTICA;GRA-EST-POL-EAD;1;4;187;3593-7110-4-9;;2
